koen,vaegt,hoejde,alder,ryger
Kvinde,60,170,41,NA
Kvinde,65,164,61,Ryger
Mand,63,165,55,Ryger
Kvinde,75,173,81,NA
Mand,65,170,50,Ryger ikke
Mand,72,172,79,Ryger ikke
Mand,74,178,24,Ryger ikke
Kvinde,60,165,43,Ryger ikke
Mand,72,173,81,Ryger
Kvinde,90,165,58,Ryger
Kvinde,72,182,25,Ryger ikke
Kvinde,72,180,43,Ryger ikke
Kvinde,NA,165,55,Ryger
Mand,78,181,35,Ryger
Kvinde,NA,170,49,Ryger ikke
Kvinde,57,175,22,Ryger
Kvinde,64,178,23,Ryger ikke
Kvinde,50,160,51,Ryger
Kvinde,53,153,20,Ryger
Mand,72,167,83,Ryger ikke
Kvinde,59,NA,74,Ryger ikke
Mand,68,190,26,Ryger
Mand,78,194,31,Ryger
Kvinde,70,178,32,Ryger
Kvinde,50,168,75,Ryger
Kvinde,72,160,56,Ryger
Mand,60,162,84,Ryger
Kvinde,57,NA,69,Ryger ikke
Mand,74,181,19,Ryger
Kvinde,55,160,29,Ryger ikke
Kvinde,65,163,84,Ryger
Kvinde,57,173,55,Ryger
Mand,68,165,34,Ryger ikke
Kvinde,54,168,41,Ryger ikke
Mand,69,175,32,Ryger
Kvinde,48,152,27,Ryger ikke
Mand,83,180,44,Ryger
Kvinde,69,150,72,Ryger
Kvinde,82,174,87,Ryger ikke
Mand,99,192,57,Ryger ikke
Kvinde,75,NA,80,Ryger ikke
Mand,102,186,27,Ryger ikke
NA,NA,NA,NA,NA
Mand,93,180,36,Ryger
Kvinde,72,175,26,Ryger ikke
Kvinde,69,160,72,Ryger ikke
Mand,63,176,19,Ryger ikke
Mand,65,170,19,Ryger
Mand,78,170,81,Ryger
Mand,78,183,21,Ryger ikke
Kvinde,58,169,28,Ryger ikke
Mand,71,182,53,Ryger
Mand,80,178,53,Ryger ikke
Kvinde,90,164,55,Ryger
Mand,75,168,42,Ryger
Kvinde,65,NA,21,Ryger
Mand,87,198,59,Ryger ikke
Kvinde,68,167,23,Ryger ikke
NA,NA,NA,NA,Ryger ikke
Kvinde,60,173,22,Ryger
Kvinde,64,164,26,Ryger ikke
Kvinde,82,168,63,Ryger ikke
Kvinde,32,153,42,Ryger
Kvinde,80,172,64,NA
Kvinde,58,175,31,Ryger
Kvinde,90,170,54,Ryger
Kvinde,89,158,71,Ryger
Mand,74,183,26,Ryger
Kvinde,46,172,82,Ryger
Kvinde,57.5,168,25,Ryger ikke
Mand,70,180,31,Ryger ikke
Kvinde,78,167,28,Ryger ikke
